Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_targets	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time
DIV0.Rep1	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	32228608	30081492	93.3378568506589	quant	Thu Jun 11 10:28:27 2020	Thu Jun 11 10:31:38 2020
DIV0.Rep2	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	33554379	31255030	93.14739515816997	quant	Thu Jun 11 10:31:39 2020	Thu Jun 11 10:35:08 2020
DIV0.Rep3	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	38533549	35854717	93.04805275008539	quant	Thu Jun 11 10:35:09 2020	Thu Jun 11 10:38:52 2020
DIV1.Rep1	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	41482446	38358081	92.46822378796081	quant	Thu Jun 11 10:38:55 2020	Thu Jun 11 10:42:59 2020
DIV1.Rep2	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	42136887	39081951	92.74997225115372	quant	Thu Jun 11 10:43:00 2020	Thu Jun 11 10:46:59 2020
DIV1.Rep3	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	27750460	25805194	92.99014863177042	quant	Thu Jun 11 10:47:01 2020	Thu Jun 11 10:50:03 2020
DIV1.Rep4	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	30908406	28856911	93.36266321854319	quant	Thu Jun 11 10:50:05 2020	Thu Jun 11 10:53:19 2020
DIV16.Rep1	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	30294729	28161903	92.95974557158112	quant	Thu Jun 11 11:11:46 2020	Thu Jun 11 11:15:52 2020
DIV16.Rep2	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	27176596	25304166	93.11013785538115	quant	Thu Jun 11 11:15:54 2020	Thu Jun 11 11:19:36 2020
DIV16.Rep3	0.11.1	none	vb	[]	1	['IU']	1001	True	True	4096	mapping	133618	False	[]	[483, 754, 1429, 2780, 101674]	f854927260348b40d928a00ecfb990d20dd8491941717288197acc8a810191e7	14e974073864b2289f5dee101963faf3ffa030c0e1afb03fbd726f1a28cbfe6a	abd5d1830e0545c3a063a8677141820146ff611d517ae5d81127d103a70d6f9b2b5c7867dabd1f6ab1c1c045cd4a62418f5352d8a1d61269ce1925584278d7e9	b92e2b634a4cfbf6c2eab88f9b9a1f234c481cd7eff42a801e50444c4e84e6185559b421c1365ed93a501e4595c49adb0b4c428aea2cbef169a9c4e47a7bfcfb	0	31697200	29448520	92.90574561790946	quant	Thu Jun 11 11:19:37 2020	Thu Jun 11 11:23:44 2020
