ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
160	504,232,521,388	0,0,0,1	376,348,397,396	0,0,0,0	139	39
162	8,12,8,0	172,92,101,83	0,10,7,4	76,115,62,63	89	39
163	7,2,5,0	0,0,6,0	3,2,0,1	0,3,0,0	43	39
166	12,5,16,5	0,0,10,0	6,20,0,7	0,0,0,0	63	39
167	0,0,0,5	0,0,10,0	3,0,0,3	0,0,0,0	60	39
169	55,37,70,25	1,0,0,0	42,78,37,51	0,0,0,2	54	39
171	41,16,26,21	0,0,0,0	28,11,16,15	1,0,0,0	43	39
173	9,4,17,0	54,17,28,11	9,5,0,3	12,14,19,12	93	39
175	0,1,3,0	11,0,0,0	0,7,1,2	0,4,0,0	42	39
178	197,142,141,96	3,0,0,2	146,147,121,145	5,3,0,1	102	39
180	9,9,0,0	0,12,6,0	6,12,2,9	0,4,1,4	83	39
184	0,0,3,0	0,8,3,1	0,0,0,0	12,7,0,1	97	39
186	175,141,218,83	3,0,0,0	132,88,105,144	0,0,0,4	162	39
189	4,3,1,11	0,0,0,0	4,3,7,1	7,3,4,0	60	39
191	2,8,0,3	1,2,0,11	1,0,5,0	2,0,4,13	42	39
192	10,2,6,5	167,99,198,159	1,2,2,10	138,132,125,96	65	39
193	4,0,7,3	30,16,16,26	2,15,2,0	22,25,17,23	130	39
194	100,56,93,60	13,0,0,0	39,106,67,62	0,0,0,0	156	39
195	11,5,12,25	20,16,28,9	16,15,9,20	13,24,11,25	42	39
196	14,7,9,4	7,5,14,5	20,15,4,6	11,13,10,9	42	39
202	6,3,7,9	44,31,18,12	1,16,7,0	17,5,21,17	196	39
203	0,0,0,0	0,11,2,4	0,0,0,2	1,0,2,5	58	39
204	9,10,2,5	1,0,2,4	3,4,4,0	3,0,0,1	43	39
205	16,12,8,10	3,0,2,0	29,27,18,27	2,0,0,7	69	39
206	52,41,66,9	0,2,0,0	29,52,23,30	0,0,0,1	43	39
207	134,65,94,92	0,13,2,7	80,44,59,77	4,0,2,2	89	39
209	8,0,9,0	2,0,0,0	5,6,5,0	0,8,0,0	108	39
210	49,37,29,32	11,3,11,5	27,51,35,39	5,21,1,1	45	39
211	1112,729,874,420	409,278,425,265	1024,1137,857,815	243,233,206,292	2405	39
216	6,10,1,3	252,176,200,124	0,0,2,2	170,183,185,158	99	39
217	482,355,457,264	42,21,24,10	368,350,271,314	14,28,14,40	69	39
218	17,6,7,2	343,254,325,190	15,19,29,23	211,286,149,260	121	39
219	94,47,97,81	201,103,161,93	80,84,58,65	138,124,121,142	42	39
220	278,249,269,185	1,2,0,0	203,215,201,234	4,0,5,2	60	39
223	351,205,122,109	25,7,7,7	214,235,191,159	10,10,3,7	313	39
224	0,0,0,1	6,13,10,10	4,3,12,3	9,5,12,9	42	39
225	134,88,82,107	0,0,4,0	110,129,83,107	5,10,2,0	2733	39
227	0,1,6,1	0,0,5,0	4,0,0,0	0,0,0,0	43	39
232	32,29,47,17	1,0,0,0	24,15,35,31	1,0,0,0	65	39
237	0,7,0,5	50,30,57,15	4,4,7,3	56,32,37,34	57	39
238	45,51,19,20	2,0,0,0	28,19,13,35	0,0,0,0	482	39
239	0,3,15,4	9,8,18,13	2,0,0,0	2,12,10,15	86	39
240	6,6,10,10	2,0,0,0	9,9,0,5	1,0,0,0	897	39
242	43,4,8,10	2,0,0,0	4,4,4,9	0,0,0,0	75	39
243	58,15,13,18	3,3,2,9	8,15,6,18	6,7,2,2	125	39
244	17,11,5,8	3,3,2,9	4,11,2,9	6,7,2,2	89	39
245	79,66,93,77	9,3,0,0	66,57,60,57	0,0,1,0	119	39
247	183,117,169,94	0,0,0,0	143,126,96,101	0,0,0,4	150	39
252	75,45,65,33	166,85,102,82	38,54,38,72	64,77,66,108	72	39
256	262,160,168,119	0,0,0,2	148,159,111,180	0,0,0,0	126	39
257	0,0,0,0	24,9,24,28	0,0,0,2	14,16,16,36	40	39
260	10,7,0,0	1,0,0,0	7,6,2,10	0,0,0,0	41	39
261	30,44,29,44	1,0,0,0	35,47,16,11	0,0,0,0	96	39
262	30,44,29,44	10,7,0,0	35,47,16,11	7,6,2,10	94	39
264	7,4,18,4	19,12,23,24	9,4,7,11	12,15,15,2	81	39
