ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
5088	87,66,82,35	0,0,0,4	40,36,20,50	0,0,0,4	78	39
5089	79,74,74,37	0,0,0,4	32,46,19,45	0,0,0,4	78	39
5090	20,3,43,25	0,3,0,0	5,29,25,24	0,0,0,0	78	39
5092	599,409,484,377	0,0,0,5	382,404,294,330	0,0,0,0	78	39
5094	130,36,121,35	1,2,0,0	67,86,30,91	0,0,0,0	78	39
5100	0,4,0,0	1,6,0,0	0,1,1,0	0,2,5,0	78	39
5102	15,11,0,0	0,0,0,4	1,9,5,9	0,0,0,0	78	39
5103	5,6,0,0	0,0,0,4	1,5,2,6	0,0,0,0	78	39
5104	5,6,0,0	0,0,0,4	1,5,2,6	0,0,0,0	78	39
5110	0,7,0,0	4,6,1,0	0,0,0,0	0,5,0,2	78	39
5111	0,0,0,0	7,1,0,0	0,0,0,1	0,2,1,0	57	39
5112	7,4,0,0	0,3,0,0	0,2,1,0	0,0,1,8	56	39
5114	37,51,55,56	20,14,5,18	54,78,39,82	7,5,4,11	78	39
5115	56,50,44,66	0,0,0,0	45,75,64,74	3,0,0,0	78	39
5116	60,32,32,26	41,38,24,34	50,54,32,42	35,63,26,37	78	39
5117	16,13,27,47	20,24,20,36	35,46,22,32	14,55,6,48	78	39
5118	21,3,5,26	23,25,7,4	17,59,9,17	17,38,13,39	78	39
5119	16,22,2,31	19,19,8,17	25,11,15,20	24,27,13,22	78	39
5120	19,19,0,23	19,19,8,17	11,12,7,18	24,27,13,22	78	39
5126	5,4,52,10	0,0,0,0	18,14,23,8	0,2,0,0	78	39
5127	0,0,20,5	0,0,0,0	15,8,6,3	0,0,1,0	78	39
5128	21,19,30,9	1,0,0,0	22,18,11,10	2,3,6,0	78	39
5129	21,19,10,8	1,0,0,0	10,10,5,7	2,3,6,0	78	39
5130	60,37,48,44	0,0,0,0	40,40,26,45	4,0,0,0	78	39
5133	0,0,0,0	15,15,13,6	0,1,0,0	14,6,2,20	78	39
5134	197,92,89,41	6,2,6,9	63,49,53,68	2,11,2,5	78	39
5136	130,84,118,104	0,0,0,0	83,114,58,101	0,4,0,0	78	39
5137	79,48,58,48	0,0,0,0	47,55,29,43	0,4,0,0	78	39
5138	0,0,0,1	14,13,11,6	0,0,0,2	10,13,2,2	78	39
5139	57,35,54,26	0,0,0,2	46,44,24,16	0,0,0,0	78	39
5140	0,0,3,0	13,15,16,14	0,0,0,0	13,12,8,18	78	39
5142	21,17,24,17	0,0,5,0	4,7,20,9	0,0,0,0	78	39
5145	35,6,20,6	0,0,0,0	9,4,9,18	2,5,3,1	78	39
5146	56,21,33,28	0,0,0,0	20,19,35,49	2,5,3,1	78	39
5147	113,73,69,95	0,0,2,5	96,117,85,116	7,4,1,0	78	39
5149	108,91,130,117	1,0,0,0	114,154,76,90	0,0,0,0	78	39
5150	1,0,6,2	0,0,0,3	3,6,1,0	0,0,0,0	78	39
5151	4,2,3,0	0,0,0,3	4,6,1,2	0,0,0,0	78	39
5153	4,0,0,2	10,13,6,0	1,3,0,3	2,2,3,9	78	39
5162	9,0,22,8	0,0,7,0	17,7,6,19	1,5,0,0	78	39
5167	168,171,154,125	0,0,0,0	118,131,146,117	0,0,2,0	78	39
5168	3,1,3,0	0,0,0,6	3,0,1,4	5,8,0,0	77	39
5169	0,0,0,0	25,3,22,4	1,0,0,0	8,4,13,16	56	39
5172	259,112,309,221	3,0,0,2	196,265,160,206	2,0,2,3	78	39
