ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
126	2,0,0,1	28,29,19,9	0,0,0,0	23,2,11,16	78	78
128	0,0,0,0	2,14,0,0	0,0,4,0	6,3,1,2	78	78
129	40,18,34,26	48,33,36,50	4,21,18,31	24,28,26,48	78	78
130	21,19,19,7	14,8,21,9	10,23,8,8	18,13,12,6	78	78
132	12,21,14,31	3,2,0,4	12,16,21,21	0,0,1,0	78	72
133	26,19,45,12	59,29,52,36	42,36,10,20	51,31,33,39	78	78
134	27,5,10,1	17,7,10,10	10,5,19,10	3,5,2,19	78	78
135	270,173,213,99	169,111,167,107	141,133,137,158	88,123,101,118	78	78
137	9,8,20,4	25,18,4,9	9,11,18,10	27,19,11,8	78	78
141	1,0,0,1	0,0,0,0	1,2,2,0	2,0,0,0	56	68
142	0,0,3,0	0,0,0,0	1,1,2,0	2,0,0,0	56	68
143	3,0,0,0	3,1,7,4	0,0,0,0	0,3,0,8	68	78
144	17,8,23,18	55,52,68,37	26,28,11,17	35,25,34,34	78	78
145	46,24,30,27	2,0,1,0	30,30,30,27	1,0,0,6	78	78
146	34,28,14,29	12,8,9,20	21,29,24,31	5,10,0,4	78	71
147	11,10,20,8	0,0,0,0	20,16,11,14	1,0,0,3	71	78
148	590,413,507,327	474,450,564,370	317,360,291,389	354,489,331,388	78	78
149	4,0,0,0	63,32,29,26	0,0,0,0	21,12,21,31	78	78
151	8,15,2,0	7,3,1,4	3,6,2,13	1,10,0,12	74	78
152	328,194,332,177	243,203,274,142	184,259,211,265	229,197,180,223	78	78
156	14,5,10,2	23,9,0,0	11,18,6,3	4,4,3,11	78	78
157	53,37,32,22	33,48,69,22	34,36,27,10	47,43,29,49	78	78
158	166,133,137,95	104,85,68,75	89,135,77,92	90,83,59,56	78	78
160	19,3,50,8	2,0,0,0	14,12,6,6	0,0,0,0	78	78
161	15,20,33,10	33,25,27,25	29,16,19,33	28,20,15,38	78	78
163	9,16,4,9	11,11,13,4	5,44,11,3	3,17,14,14	78	78
164	322,171,283,139	358,258,327,171	122,181,148,249	241,200,160,265	78	78
165	117,73,82,64	83,69,110,72	54,94,55,49	50,86,47,61	78	78
166	95,38,86,68	107,82,108,111	50,72,31,58	76,96,57,88	78	78
167	0,0,0,0	1,4,9,6	2,0,0,0	5,5,0,1	78	78
168	7,6,20,4	1,4,9,6	2,13,3,2	5,5,0,1	78	78
170	13,4,2,14	8,8,24,8	6,8,0,4	6,12,11,7	78	78
171	66,22,75,49	76,29,73,44	40,51,41,40	59,60,50,74	78	78
172	37,32,23,36	66,28,61,31	22,23,33,12	67,66,20,27	78	78
173	271,213,254,213	325,279,290,297	203,203,239,227	320,295,235,312	78	78
174	16,18,27,17	29,10,58,18	31,17,22,31	17,49,33,32	78	78
175	9,16,35,8	26,19,29,18	24,16,19,28	30,9,25,18	78	73
176	9,16,35,8	1,1,0,2	24,16,19,28	2,3,0,9	78	78
177	72,70,97,44	30,16,34,33	64,104,48,48	33,26,25,28	78	78
179	6,8,6,1	6,7,7,18	8,10,2,3	10,10,4,1	78	78
182	0,0,7,0	28,16,32,14	0,0,0,0	16,9,15,10	78	78
183	0,0,7,0	66,31,66,24	0,0,0,0	25,35,39,24	78	78
195	186,98,185,108	293,166,208,168	128,152,96,179	148,177,131,186	78	78
196	19,11,16,5	34,3,6,0	3,12,8,9	6,16,2,11	78	78
197	86,65,134,42	16,8,0,7	80,50,52,78	10,10,6,3	78	78
198	38,12,20,0	52,30,54,25	16,20,23,13	37,34,24,35	78	78
199	37,12,20,0	0,2,0,0	16,20,20,13	0,0,3,4	78	78
200	9,1,0,2	0,6,3,0	1,6,6,2	0,0,0,3	78	78
201	12,10,15,10	8,5,8,6	10,16,4,22	4,7,14,9	78	78
202	355,268,306,226	148,118,168,89	253,244,161,256	95,110,97,116	78	78
205	6,11,7,0	21,6,11,5	0,3,0,4	6,0,2,6	78	78
206	7,30,31,21	29,32,43,28	11,22,18,29	47,49,26,24	78	78
207	25,21,12,5	0,0,2,0	4,12,1,18	0,0,0,0	78	78
208	40,20,12,35	58,52,53,59	24,11,18,18	42,57,28,34	78	78
209	28,11,31,16	27,30,29,14	27,18,21,27	28,33,33,12	78	78
210	7,2,7,0	1,10,5,0	2,0,1,0	1,0,0,2	78	78
212	0,0,0,0	10,18,14,5	0,5,0,0	7,19,4,5	78	78
213	15,4,9,8	10,18,14,5	9,12,6,2	7,19,4,5	78	78
214	28,23,10,10	18,11,2,8	34,30,14,46	10,15,6,12	78	78
222	47,50,6,18	18,26,16,14	19,28,39,50	14,17,16,6	78	66
223	7,8,18,24	1,6,8,9	7,13,9,12	4,0,9,1	78	58
224	35,24,45,31	38,20,35,9	38,31,47,67	25,30,15,11	78	78
225	53,32,46,8	38,20,35,9	39,20,16,40	25,30,15,11	78	78
226	35,24,45,31	33,19,30,9	38,31,47,67	17,19,15,17	78	78
227	53,32,46,8	33,19,30,9	39,20,16,40	17,19,15,17	78	78
228	72,36,48,30	68,32,66,31	72,45,30,42	14,20,16,27	78	78
229	67,35,43,30	1,0,18,0	64,34,30,48	0,0,5,0	78	78
231	14,6,7,7	22,24,36,15	11,0,3,10	18,16,15,14	78	78
232	0,2,0,0	1,0,6,0	0,0,0,0	0,1,0,0	78	50
233	3,0,2,0	70,24,44,72	0,0,0,0	30,41,24,71	78	78
234	161,106,220,92	196,127,171,132	118,126,100,175	122,103,121,146	78	78
235	17,3,4,0	3,6,5,4	9,7,0,7	3,3,6,5	78	78
236	1,2,0,6	12,11,5,4	0,3,0,3	8,10,2,10	78	78
237	18,19,8,9	12,14,17,6	17,22,7,6	21,8,13,8	78	78
238	0,4,0,0	1,0,2,8	9,3,2,5	2,2,2,2	78	78
239	43,24,32,51	108,104,135,55	28,43,38,26	93,133,58,72	78	78
240	5,0,9,0	1,0,0,0	0,7,4,8	0,0,0,0	78	78
241	0,0,0,0	9,10,7,2	3,0,0,0	15,14,7,19	78	78
242	0,0,4,1	8,0,0,0	6,5,5,1	5,6,0,2	78	78
243	7,0,8,0	0,0,3,0	1,0,6,2	0,0,0,1	78	78
244	24,10,26,6	36,22,46,28	25,13,14,6	9,34,13,23	78	78
245	34,23,19,18	17,7,4,36	19,22,18,22	20,16,17,7	78	78
246	1,0,0,7	0,0,2,0	3,0,0,0	0,0,0,0	78	78
247	19,4,16,16	4,1,4,0	6,7,11,11	8,0,9,8	78	78
252	11,11,18,8	15,11,23,19	9,0,5,22	12,31,5,16	78	78
254	0,0,0,0	18,6,7,0	0,0,0,4	5,16,3,2	71	78
255	55,50,229,153	52,28,128,94	109,204,143,103	132,89,97,80	78	78
256	0,0,3,0	35,61,168,145	0,0,0,0	174,207,109,135	78	78
257	55,43,180,69	54,51,162,101	75,125,107,135	115,145,107,98	78	78
258	1,9,1,2	10,11,2,4	2,4,11,3	5,5,6,3	78	78
259	337,251,298,195	128,93,71,61	207,328,229,224	78,74,75,98	78	78
260	7,15,8,0	2,6,2,5	4,14,2,3	0,2,0,0	78	78
261	2,0,5,0	4,8,9,9	2,0,0,5	13,14,2,8	78	78
262	0,0,0,0	2,0,0,1	1,5,0,0	0,2,0,0	78	78
